regcode,regname,provcode,provname,citycode,cityname,registered,accredited,unregistered,drafted,for_validation,back_to_encoder,validated,approved,total_stepzero
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102801,ADAMS,4,16,0,16,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102802,BACARRA,40,154,0,182,11,0,0,0,1
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102803,BADOC,35,194,10,229,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102804,BANGUI,16,65,0,81,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102811,BANNA,10,93,0,103,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102806,BURGOS,9,37,2,36,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102807,CARASI,6,10,0,14,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102805,CITY OF BATAC,57,270,0,325,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102812,CITY OF LAOAG (CAPITAL),115,177,0,174,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102808,CURRIMAO,48,36,48,30,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102809,DINGRAS,78,103,11,84,0,1,72,0,1
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102810,DUMALNEG,7,23,0,32,0,0,0,0,1
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102813,MARCOS,42,82,0,122,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102814,NUEVA ERA,0,100,0,100,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102815,PAGUDPUD,27,148,0,151,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102816,PAOAY,64,94,0,158,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102817,PASUQUIN,34,143,7,36,98,2,21,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102818,PIDDIG,42,88,0,129,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102819,PINILI,21,92,15,113,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102820,SAN NICOLAS,34,136,8,168,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102821,SARRAT,29,164,10,0,189,0,3,0,1
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102822,SOLSONA,33,111,0,144,0,0,0,0,0
01,REGION I (ILOCOS REGION),01028,ILOCOS NORTE,0102823,VINTAR,58,130,40,188,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102901,ALILEM,10,45,10,55,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102902,BANAYOYO,11,25,0,35,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102903,BANTAY,51,96,26,134,17,0,0,0,1
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102904,BURGOS,53,53,2,102,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102905,CABUGAO,122,15,0,134,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102907,CAOAYAN,33,83,11,116,0,0,0,0,0
01,REGION I (ILOCOS REGION),01029,ILOCOS SUR,0102908,CERVANTES,18,66,9,83,0,0,0,0,0
