indicator_key,breakdown,geo_code,geo_level,numerator,denominator,rate_pct,over_100,source_psgc,source_area_name,geo_resolution
water_level1,total,PH,national,5297238,27387195,20.249247379307754,false,,Philippines,national
water_level2,total,PH,national,2721080,27387195,10.40161309715595,false,,Philippines,national
water_level3,total,PH,national,18141855,27387195,69.3491395235363,false,,Philippines,national
water_basic,total,PH,national,26160173,27387195,95.5197243916363,false,,Philippines,national
water_safely_managed,total,PH,national,19498835,27387195,71.1969042466744,false,,Philippines,national
water_level1,total,13,region,11806,3636431,0.32356073574301947,false,1300000000,NCR,direct
water_level2,total,13,region,64070,3636431,1.7559322665640569,false,1300000000,NCR,direct
water_level3,total,13,region,3572898,3636431,97.92050699769293,false,1300000000,NCR,direct
water_basic,total,13,region,3648774,3636431,100.33942621212941,true,1300000000,NCR,direct
water_safely_managed,total,13,region,3523219,3636431,96.88672767336985,false,1300000000,NCR,direct
water_level1,total,13801,province,0,424199,0.0,false,1380100000,City of Caloocan,direct
water_level2,total,13801,province,0,424199,0.0,false,1380100000,City of Caloocan,direct
water_level3,total,13801,province,424199,424199,100.0,false,1380100000,City of Caloocan,direct
water_basic,total,13801,province,424199,424199,100.0,false,1380100000,City of Caloocan,direct
water_safely_managed,total,13801,province,372447,424199,87.80006553527943,false,1380100000,City of Caloocan,direct
water_level1,total,13802,province,0,162684,0.0,false,1380200000,City of Las Piñas,direct
water_level2,total,13802,province,0,162684,0.0,false,1380200000,City of Las Piñas,direct
water_level3,total,13802,province,159435,162684,100.0,false,1380200000,City of Las Piñas,direct
water_basic,total,13802,province,159435,162684,98.00287674264217,false,1380200000,City of Las Piñas,direct
water_safely_managed,total,13802,province,159435,162684,98.00287674264217,false,1380200000,City of Las Piñas,direct
water_level1,total,13803,province,0,90323,0.0,false,1380300000,City of Makati,direct
water_level2,total,13803,province,0,90323,0.0,false,1380300000,City of Makati,direct
water_level3,total,13803,province,90323,90323,100.0,false,1380300000,City of Makati,direct
water_basic,total,13803,province,90323,90323,100.0,false,1380300000,City of Makati,direct
water_safely_managed,total,13803,province,90323,90323,100.0,false,1380300000,City of Makati,direct
water_level1,total,13804,province,0,98320,0.0,false,1380400000,City of Malabon,direct
water_level2,total,13804,province,0,98320,0.0,false,1380400000,City of Malabon,direct
water_level3,total,13804,province,98319,98320,100.0,false,1380400000,City of Malabon,direct
water_basic,total,13804,province,98319,98320,99.99898291293735,false,1380400000,City of Malabon,direct
water_safely_managed,total,13804,province,96848,98320,98.50284784377543,false,1380400000,City of Malabon,direct
water_level1,total,13805,province,0,121448,0.0,false,1380500000,City of Mandaluyong,direct
water_level2,total,13805,province,0,121448,0.0,false,1380500000,City of Mandaluyong,direct
water_level3,total,13805,province,121449,121448,100.0,false,1380500000,City of Mandaluyong,direct
water_basic,total,13805,province,121449,121448,100.00082339766814,true,1380500000,City of Mandaluyong,direct
water_safely_managed,total,13805,province,121449,121448,100.00082339766814,true,1380500000,City of Mandaluyong,direct
water_level1,total,13806,province,8262,503231,1.7056081519068873,false,1380600000,City of Manila,direct
water_level2,total,13806,province,43420,503231,8.96362938220734,false,1380600000,City of Manila,direct
water_level3,total,13806,province,432720,503231,89.33076246588577,false,1380600000,City of Manila,direct
water_basic,total,13806,province,484402,503231,96.25837835904386,false,1380600000,City of Manila,direct
water_safely_managed,total,13806,province,432720,503231,85.98834332543106,false,1380600000,City of Manila,direct
water_level1,total,13807,province,0,108045,0.0,false,1380700000,City of Marikina,direct
water_level2,total,13807,province,0,108045,0.0,false,1380700000,City of Marikina,direct
water_level3,total,13807,province,108045,108045,100.0,false,1380700000,City of Marikina,direct
water_basic,total,13807,province,108045,108045,100.0,false,1380700000,City of Marikina,direct
water_safely_managed,total,13807,province,108045,108045,100.0,false,1380700000,City of Marikina,direct
water_level1,total,13808,province,3544,142962,2.513439525680487,false,1380800000,City of Muntinlupa,direct
water_level2,total,13808,province,1799,142962,1.275868427398193,false,1380800000,City of Muntinlupa,direct
water_level3,total,13808,province,135659,142962,96.21069204692132,false,1380800000,City of Muntinlupa,direct
water_basic,total,13808,province,141002,142962,98.62900630936893,false,1380800000,City of Muntinlupa,direct
water_safely_managed,total,13808,province,139203,142962,97.37062995761111,false,1380800000,City of Muntinlupa,direct
water_level1,total,13809,province,0,66447,0.0,false,1380900000,City of Navotas,direct
water_level2,total,13809,province,665,66447,1.0007976281848692,false,1380900000,City of Navotas,direct
water_level3,total,13809,province,65782,66447,98.99920237181513,false,1380900000,City of Navotas,direct
water_basic,total,13809,province,66447,66447,100.0,false,1380900000,City of Navotas,direct
water_safely_managed,total,13809,province,65782,66447,98.99920237181513,false,1380900000,City of Navotas,direct
water_level1,total,13810,province,0,189232,0.0,false,1381000000,City of Parañaque,direct
water_level2,total,13810,province,1892,189232,0.9998308954088103,false,1381000000,City of Parañaque,direct
water_level3,total,13810,province,187340,189232,99.00016910459118,false,1381000000,City of Parañaque,direct
water_basic,total,13810,province,189232,189232,100.0,false,1381000000,City of Parañaque,direct
water_safely_managed,total,13810,province,187340,189232,99.00016910459118,false,1381000000,City of Parañaque,direct
water_level1,total,13811,province,0,130907,0.0,false,1381100000,Pasay City,direct
water_level2,total,13811,province,0,130907,0.0,false,1381100000,Pasay City,direct
water_level3,total,13811,province,128283,130907,100.0,false,1381100000,Pasay City,direct
water_basic,total,13811,province,128283,130907,97.9955235396121,false,1381100000,Pasay City,direct
water_safely_managed,total,13811,province,128283,130907,97.9955235396121,false,1381100000,Pasay City,direct
water_level1,total,13812,province,0,223378,0.0,false,1381200000,City of Pasig,direct
water_level2,total,13812,province,0,223378,0.0,false,1381200000,City of Pasig,direct
water_level3,total,13812,province,225358,223378,100.0,false,1381200000,City of Pasig,direct
water_basic,total,13812,province,225358,223378,100.88638988620187,true,1381200000,City of Pasig,direct
water_safely_managed,total,13812,province,225358,223378,100.88638988620187,true,1381200000,City of Pasig,direct
water_level1,total,13813,province,0,768524,0.0,false,1381300000,Quezon City,direct
water_level2,total,13813,province,0,768524,0.0,false,1381300000,Quezon City,direct
water_level3,total,13813,province,805551,768524,100.0,false,1381300000,Quezon City,direct
water_basic,total,13813,province,805551,768524,104.81793672025856,true,1381300000,Quezon City,direct
water_safely_managed,total,13813,province,805551,768524,104.81793672025856,true,1381300000,Quezon City,direct
water_level1,total,13814,province,0,31953,0.0,false,1381400000,City of San Juan,direct
water_level2,total,13814,province,0,31953,0.0,false,1381400000,City of San Juan,direct
water_level3,total,13814,province,31951,31953,100.0,false,1381400000,City of San Juan,direct
water_basic,total,13814,province,31951,31953,99.99374080681001,false,1381400000,City of San Juan,direct
water_safely_managed,total,13814,province,31951,31953,99.99374080681001,false,1381400000,City of San Juan,direct
water_level1,total,13815,province,0,357153,0.0,false,1381500000,City of Taguig,direct
water_level2,total,13815,province,15155,357153,4.243279490862459,false,1381500000,City of Taguig,direct
water_level3,total,13815,province,341998,357153,95.75672050913754,false,1381500000,City of Taguig,direct
water_basic,total,13815,province,357153,357153,100.0,false,1381500000,City of Taguig,direct
water_safely_managed,total,13815,province,341998,357153,95.75672050913754,false,1381500000,City of Taguig,direct
water_level1,total,13816,province,0,201360,0.0,false,1381600000,City of Valenzuela,direct
water_level2,total,13816,province,0,201360,0.0,false,1381600000,City of Valenzuela,direct
water_level3,total,13816,province,201360,201360,100.0,false,1381600000,City of Valenzuela,direct
water_basic,total,13816,province,201360,201360,100.0,false,1381600000,City of Valenzuela,direct
water_safely_managed,total,13816,province,201360,201360,100.0,false,1381600000,City of Valenzuela,direct
water_level1,total,1381701,citymun,0,16265,0.0,false,1381701000,Pateros,direct
water_level2,total,1381701,citymun,1139,16265,7.002766676913619,false,1381701000,Pateros,direct
water_level3,total,1381701,citymun,15126,16265,92.99723332308638,false,1381701000,Pateros,direct
water_basic,total,1381701,citymun,16265,16265,100.0,false,1381701000,Pateros,direct
water_safely_managed,total,1381701,citymun,15126,16265,92.99723332308638,false,1381701000,Pateros,direct
water_level1,total,14,region,97911,459178,21.235281742528905,false,1400000000,CAR,direct
water_level2,total,14,region,57648,459178,12.502900817000198,false,1400000000,CAR,direct
water_level3,total,14,region,305518,459178,66.26181744047089,false,1400000000,CAR,direct
water_basic,total,14,region,461077,459178,100.41356510982669,true,1400000000,CAR,direct
water_safely_managed,total,14,region,314597,459178,68.5130820727474,false,1400000000,CAR,direct
water_level1,total,14001,province,11157,59078,17.482254501010672,false,1400100000,Abra,direct
water_level2,total,14001,province,11937,59078,18.704461053918113,false,1400100000,Abra,direct
water_level3,total,14001,province,40725,59078,63.81328444507122,false,1400100000,Abra,direct
water_basic,total,14001,province,63819,59078,108.02498391956397,true,1400100000,Abra,direct
water_safely_managed,total,14001,province,35225,59078,59.624564135549605,false,1400100000,Abra,direct
water_level1,total,1400101,citymun,2638,12334,21.3464961967956,false,1400101000,Bangued,direct
water_level2,total,1400101,citymun,506,12334,4.094513675351999,false,1400101000,Bangued,direct
water_level3,total,1400101,citymun,9214,12334,74.5589901278524,false,1400101000,Bangued,direct
water_basic,total,1400101,citymun,12358,12334,100.19458407653642,true,1400101000,Bangued,direct
water_safely_managed,total,1400101,citymun,9851,12334,79.86865574833793,false,1400101000,Bangued,direct
water_level1,total,1400102,citymun,0,871,0.0,false,1400102000,Boliney,direct
water_level2,total,1400102,citymun,34,871,3.7735849056603774,false,1400102000,Boliney,direct
water_level3,total,1400102,citymun,867,871,96.22641509433963,false,1400102000,Boliney,direct
water_basic,total,1400102,citymun,901,871,103.4443168771527,true,1400102000,Boliney,direct
water_safely_managed,total,1400102,citymun,0,871,0.0,false,1400102000,Boliney,direct
water_level1,total,1400103,citymun,950,4339,18.181818181818183,false,1400103000,Bucay,direct
water_level2,total,1400103,citymun,2099,4339,40.172248803827756,false,1400103000,Bucay,direct
water_level3,total,1400103,citymun,2176,4339,41.64593301435407,false,1400103000,Bucay,direct
water_basic,total,1400103,citymun,5225,4339,120.41945148651763,true,1400103000,Bucay,direct
water_safely_managed,total,1400103,citymun,1868,4339,43.05139433049089,false,1400103000,Bucay,direct
water_level1,total,1400104,citymun,17,480,3.1192660550458715,false,1400104000,Bucloc,direct
water_level2,total,1400104,citymun,55,480,10.091743119266056,false,1400104000,Bucloc,direct
water_level3,total,1400104,citymun,473,480,86.78899082568807,false,1400104000,Bucloc,direct
water_basic,total,1400104,citymun,545,480,113.54166666666667,true,1400104000,Bucloc,direct
water_safely_managed,total,1400104,citymun,94,480,19.583333333333332,false,1400104000,Bucloc,direct
water_level1,total,1400105,citymun,0,414,0.0,false,1400105000,Daguioman,direct
water_level2,total,1400105,citymun,0,414,0.0,false,1400105000,Daguioman,direct
water_level3,total,1400105,citymun,441,414,100.0,false,1400105000,Daguioman,direct
water_basic,total,1400105,citymun,441,414,106.5217391304348,true,1400105000,Daguioman,direct
