indicator_key,breakdown,geo_code,geo_level,numerator,denominator,rate_pct,over_100,source_psgc,source_area_name,geo_resolution
fic,total,PH,national,1560924,2392392,65.24532768877341,false,,PHILIPPINES,national
fic,male,PH,national,795839,,,false,,PHILIPPINES,national
fic,female,PH,national,765085,,,false,,PHILIPPINES,national
cic,total,PH,national,131044,840855,15.584613280529938,false,,PHILIPPINES,national
cic,male,PH,national,67987,,,false,,PHILIPPINES,national
cic,female,PH,national,63057,,,false,,PHILIPPINES,national
fic,total,13,region,237518,285798,83.10694966374852,false,1300000000,NCR,direct
fic,male,13,region,120172,,,false,1300000000,NCR,direct
fic,female,13,region,117346,,,false,1300000000,NCR,direct
cic,total,13,region,18041,60578,29.781438806167255,false,1300000000,NCR,direct
cic,male,13,region,9116,,,false,1300000000,NCR,direct
cic,female,13,region,8925,,,false,1300000000,NCR,direct
fic,total,13801,province,27958,36488,76.62245121683841,false,1380100000,City of Caloocan,direct
fic,male,13801,province,14168,,,false,1380100000,City of Caloocan,direct
fic,female,13801,province,13790,,,false,1380100000,City of Caloocan,direct
cic,total,13801,province,779,10459,7.448130796443254,false,1380100000,City of Caloocan,direct
cic,male,13801,province,412,,,false,1380100000,City of Caloocan,direct
cic,female,13801,province,367,,,false,1380100000,City of Caloocan,direct
fic,total,13802,province,10128,12284,82.44871377401498,false,1380200000,City of Las Piñas,direct
fic,male,13802,province,4994,,,false,1380200000,City of Las Piñas,direct
fic,female,13802,province,5134,,,false,1380200000,City of Las Piñas,direct
cic,total,13802,province,1019,2457,41.47334147334148,false,1380200000,City of Las Piñas,direct
cic,male,13802,province,483,,,false,1380200000,City of Las Piñas,direct
cic,female,13802,province,536,,,false,1380200000,City of Las Piñas,direct
fic,total,13803,province,4384,4580,95.72052401746724,false,1380300000,City of Makati,direct
fic,male,13803,province,2250,,,false,1380300000,City of Makati,direct
fic,female,13803,province,2134,,,false,1380300000,City of Makati,direct
cic,total,13803,province,92,269,34.20074349442379,false,1380300000,City of Makati,direct
cic,male,13803,province,45,,,false,1380300000,City of Makati,direct
cic,female,13803,province,47,,,false,1380300000,City of Makati,direct
fic,total,13804,province,4593,8070,56.914498141263934,false,1380400000,City of Malabon,direct
fic,male,13804,province,2377,,,false,1380400000,City of Malabon,direct
fic,female,13804,province,2216,,,false,1380400000,City of Malabon,direct
cic,total,13804,province,663,1806,36.7109634551495,false,1380400000,City of Malabon,direct
cic,male,13804,province,335,,,false,1380400000,City of Malabon,direct
cic,female,13804,province,328,,,false,1380400000,City of Malabon,direct
fic,total,13805,province,8357,8672,96.36761992619927,false,1380500000,City of Mandaluyong,direct
fic,male,13805,province,4194,,,false,1380500000,City of Mandaluyong,direct
fic,female,13805,province,4163,,,false,1380500000,City of Mandaluyong,direct
cic,total,13805,province,715,318,224.8427672955975,true,1380500000,City of Mandaluyong,direct
cic,male,13805,province,349,,,false,1380500000,City of Mandaluyong,direct
cic,female,13805,province,366,,,false,1380500000,City of Mandaluyong,direct
fic,total,13806,province,33596,37288,90.09869126796825,false,1380600000,City of Manila,direct
fic,male,13806,province,17121,,,false,1380600000,City of Manila,direct
