indicator_key,breakdown,geo_code,geo_level,numerator,denominator,rate_pct,over_100,source_psgc,source_area_name,geo_resolution
tb_notified,total,PH,national,535254,113146216,473.06398651458215,false,,PHILIPPINES,national
tb_notified,male,PH,national,342384,,,false,,PHILIPPINES,national
tb_notified,female,PH,national,192870,,,false,,PHILIPPINES,national
tb_dr_notified,total,PH,national,7545,113146216,6.668362643254459,false,,PHILIPPINES,national
tb_dr_notified,male,PH,national,5306,,,false,,PHILIPPINES,national
tb_dr_notified,female,PH,national,2239,,,false,,PHILIPPINES,national
tb_presumptive_tested,total,PH,national,1372749,113146216,1.2132522399158272,false,,PHILIPPINES,national
tb_notified,total,13,region,101500,14015646,724.1906652037302,false,1300000000,NCR,direct
tb_notified,male,13,region,61233,,,false,1300000000,NCR,direct
tb_notified,female,13,region,40267,,,false,1300000000,NCR,direct
tb_dr_notified,total,13,region,1909,14015646,13.620492412550945,false,1300000000,NCR,direct
tb_dr_notified,male,13,region,1284,,,false,1300000000,NCR,direct
tb_dr_notified,female,13,region,625,,,false,1300000000,NCR,direct
tb_presumptive_tested,total,13,region,289151,14015646,2.063058670288904,false,1300000000,NCR,direct
tb_notified,total,13801,province,13241,1743812,759.3135039786399,false,1380100000,City of Caloocan,direct
tb_notified,male,13801,province,7866,,,false,1380100000,City of Caloocan,direct
tb_notified,female,13801,province,5375,,,false,1380100000,City of Caloocan,direct
tb_dr_notified,total,13801,province,249,1743812,14.279062192484052,false,1380100000,City of Caloocan,direct
tb_dr_notified,male,13801,province,169,,,false,1380100000,City of Caloocan,direct
tb_dr_notified,female,13801,province,80,,,false,1380100000,City of Caloocan,direct
tb_presumptive_tested,total,13801,province,22857,1743812,1.3107490945124818,false,1380100000,City of Caloocan,direct
tb_notified,total,13802,province,4077,628652,648.5305065441612,false,1380200000,City of Las Piñas,direct
tb_notified,male,13802,province,2508,,,false,1380200000,City of Las Piñas,direct
tb_notified,female,13802,province,1569,,,false,1380200000,City of Las Piñas,direct
tb_dr_notified,total,13802,province,63,628652,10.021442705980414,false,1380200000,City of Las Piñas,direct
tb_dr_notified,male,13802,province,42,,,false,1380200000,City of Las Piñas,direct
tb_dr_notified,female,13802,province,21,,,false,1380200000,City of Las Piñas,direct
tb_presumptive_tested,total,13802,province,7577,628652,1.2052773235430732,false,1380200000,City of Las Piñas,direct
tb_notified,total,13803,province,3653,294960,1238.4730132899376,false,1380300000,City of Makati,direct
tb_notified,male,13803,province,1909,,,false,1380300000,City of Makati,direct
tb_notified,female,13803,province,1744,,,false,1380300000,City of Makati,direct
tb_dr_notified,total,13803,province,30,294960,10.17087062652563,false,1380300000,City of Makati,direct
tb_dr_notified,male,13803,province,14,,,false,1380300000,City of Makati,direct
tb_dr_notified,female,13803,province,16,,,false,1380300000,City of Makati,direct
tb_presumptive_tested,total,13803,province,10788,294960,3.657445077298617,false,1380300000,City of Makati,direct
tb_notified,total,13804,province,4846,396996,1220.6672107527531,false,1380400000,City of Malabon,direct
tb_notified,male,13804,province,3058,,,false,1380400000,City of Malabon,direct
tb_notified,female,13804,province,1788,,,false,1380400000,City of Malabon,direct
tb_dr_notified,total,13804,province,74,396996,18.639986297091156,false,1380400000,City of Malabon,direct
tb_dr_notified,male,13804,province,43,,,false,1380400000,City of Malabon,direct
tb_dr_notified,female,13804,province,31,,,false,1380400000,City of Malabon,direct
tb_presumptive_tested,total,13804,province,6857,396996,1.7272214329615412,false,1380400000,City of Malabon,direct
tb_notified,total,13805,province,3081,442115,696.8775092453321,false,1380500000,City of Mandaluyong,direct
tb_notified,male,13805,province,2002,,,false,1380500000,City of Mandaluyong,direct
tb_notified,female,13805,province,1079,,,false,1380500000,City of Mandaluyong,direct
tb_dr_notified,total,13805,province,36,442115,8.14267781007204,false,1380500000,City of Mandaluyong,direct
tb_dr_notified,male,13805,province,29,,,false,1380500000,City of Mandaluyong,direct
tb_dr_notified,female,13805,province,7,,,false,1380500000,City of Mandaluyong,direct
tb_presumptive_tested,total,13805,province,8925,442115,2.018705540413693,false,1380500000,City of Mandaluyong,direct
tb_notified,total,13806,province,15245,1911556,797.5178336391924,false,1380600000,City of Manila,direct
tb_notified,male,13806,province,8779,,,false,1380600000,City of Manila,direct
tb_notified,female,13806,province,6466,,,false,1380600000,City of Manila,direct
tb_dr_notified,total,13806,province,452,1911556,23.64565830140472,false,1380600000,City of Manila,direct
tb_dr_notified,male,13806,province,296,,,false,1380600000,City of Manila,direct
tb_dr_notified,female,13806,province,156,,,false,1380600000,City of Manila,direct
tb_presumptive_tested,total,13806,province,57024,1911556,2.9831195110161564,false,1380600000,City of Manila,direct
tb_notified,total,13807,province,2954,471918,625.9562042558241,false,1380700000,City of Marikina,direct
tb_notified,male,13807,province,1841,,,false,1380700000,City of Marikina,direct
tb_notified,female,13807,province,1113,,,false,1380700000,City of Marikina,direct
tb_dr_notified,total,13807,province,71,471918,15.044986629033009,false,1380700000,City of Marikina,direct
tb_dr_notified,male,13807,province,51,,,false,1380700000,City of Marikina,direct
tb_dr_notified,female,13807,province,20,,,false,1380700000,City of Marikina,direct
tb_presumptive_tested,total,13807,province,8763,471918,1.8568903919748772,false,1380700000,City of Marikina,direct
tb_notified,total,13808,province,3393,561640,604.1236379175272,false,1380800000,City of Muntinlupa,direct
tb_notified,male,13808,province,2389,,,false,1380800000,City of Muntinlupa,direct
tb_notified,female,13808,province,1004,,,false,1380800000,City of Muntinlupa,direct
tb_dr_notified,total,13808,province,110,561640,19.585499608290007,false,1380800000,City of Muntinlupa,direct
tb_dr_notified,male,13808,province,86,,,false,1380800000,City of Muntinlupa,direct
tb_dr_notified,female,13808,province,24,,,false,1380800000,City of Muntinlupa,direct
tb_presumptive_tested,total,13808,province,12580,561640,2.239868955202621,false,1380800000,City of Muntinlupa,direct
tb_notified,total,13809,province,2474,260395,950.095047907986,false,1380900000,City of Navotas,direct
tb_notified,male,13809,province,1541,,,false,1380900000,City of Navotas,direct
tb_notified,female,13809,province,933,,,false,1380900000,City of Navotas,direct
tb_dr_notified,total,13809,province,42,260395,16.12934196125118,false,1380900000,City of Navotas,direct
tb_dr_notified,male,13809,province,27,,,false,1380900000,City of Navotas,direct
