cadre,geo_code,geo_level,lgu_hired,doh_hired,total,population_2025,households_2025,source_psgc,source_area_name,geo_resolution
physician,PH,national,4255,895,5150,113146216,27387195,,PHILIPPINES,national
nurse,PH,national,9293,11358,20651,113146216,27387195,,PHILIPPINES,national
midwife,PH,national,17668,6047,23715,113146216,27387195,,PHILIPPINES,national
dentist,PH,national,1660,201,1861,113146216,27387195,,PHILIPPINES,national
med_tech,PH,national,2957,627,3584,113146216,27387195,,PHILIPPINES,national
nutritionist,PH,national,577,281,858,113146216,27387195,,PHILIPPINES,national
sanitary_engineer,PH,national,41,1,42,113146216,27387195,,PHILIPPINES,national
sanitary_inspector,PH,national,2464,385,2849,113146216,27387195,,PHILIPPINES,national
physician,13,region,1003,0,1003,14015646,3636431,1300000000,NCR,direct
nurse,13,region,1569,157,1726,14015646,3636431,1300000000,NCR,direct
midwife,13,region,1163,86,1249,14015646,3636431,1300000000,NCR,direct
dentist,13,region,589,3,592,14015646,3636431,1300000000,NCR,direct
med_tech,13,region,479,14,493,14015646,3636431,1300000000,NCR,direct
nutritionist,13,region,170,3,173,14015646,3636431,1300000000,NCR,direct
sanitary_engineer,13,region,5,0,5,14015646,3636431,1300000000,NCR,direct
sanitary_inspector,13,region,0,302,302,14015646,3636431,1300000000,NCR,direct
physician,13801,province,40,0,40,1743812,424199,1380100000,City of Caloocan,direct
nurse,13801,province,80,0,80,1743812,424199,1380100000,City of Caloocan,direct
midwife,13801,province,31,0,31,1743812,424199,1380100000,City of Caloocan,direct
dentist,13801,province,15,0,15,1743812,424199,1380100000,City of Caloocan,direct
med_tech,13801,province,16,0,16,1743812,424199,1380100000,City of Caloocan,direct
nutritionist,13801,province,3,0,3,1743812,424199,1380100000,City of Caloocan,direct
sanitary_engineer,13801,province,0,0,0,1743812,424199,1380100000,City of Caloocan,direct
sanitary_inspector,13801,province,0,7,7,1743812,424199,1380100000,City of Caloocan,direct
physician,13802,province,14,0,14,628652,162684,1380200000,City of Las Piñas,direct
nurse,13802,province,18,4,22,628652,162684,1380200000,City of Las Piñas,direct
midwife,13802,province,38,7,45,628652,162684,1380200000,City of Las Piñas,direct
dentist,13802,province,10,0,10,628652,162684,1380200000,City of Las Piñas,direct
med_tech,13802,province,9,0,9,628652,162684,1380200000,City of Las Piñas,direct
nutritionist,13802,province,7,0,7,628652,162684,1380200000,City of Las Piñas,direct
