geo_code,geo_level,dof_kind,dof_region,dof_name,old_class_dof,new_class,converted,method,score
01028,province,province,I,Ilocos Norte,1,1,0,province,100
0102801,citymun,municipality,I,Adams,5,4,0,fuzzy,100
0102802,citymun,municipality,I,Bacarra,3,2,0,fuzzy,100
0102803,citymun,municipality,I,Badoc,3,1,0,fuzzy,100
0102804,citymun,municipality,I,Bangui,4,2,0,fuzzy,100
0102805,citymun,city,I,Batac City,5,3,0,fuzzy,100
0102806,citymun,municipality,I,Burgos,5,3,0,fuzzy,100
0102807,citymun,municipality,I,Carasi,5,5,0,fuzzy,100
0102808,citymun,municipality,I,Currimao,4,3,0,fuzzy,100
0102809,citymun,municipality,I,Dingras,2,1,0,fuzzy,100
0102810,citymun,municipality,I,Dumalneg,5,4,0,fuzzy,100
0102811,citymun,municipality,I,Sanna,4,1,0,override,100
0102812,citymun,city,I,Laoag City,3,3,0,fuzzy,100
0102813,citymun,municipality,I,Marcos,4,2,0,fuzzy,100
0102814,citymun,municipality,I,Nueva Era,3,1,0,fuzzy,100
0102815,citymun,municipality,I,Pagudpud,4,1,0,fuzzy,100
0102816,citymun,municipality,I,Paoay,4,2,0,fuzzy,100
0102817,citymun,municipality,I,Pasuquin,3,1,0,fuzzy,100
0102818,citymun,municipality,I,Piddig,3,1,0,fuzzy,100
0102819,citymun,municipality,I,Pinili,3,1,0,fuzzy,100
0102820,citymun,municipality,I,San Nicolas,2,1,0,fuzzy,100
0102821,citymun,municipality,I,Sarrat,4,2,0,fuzzy,100
0102822,citymun,municipality,I,Solsona,3,2,0,fuzzy,100
0102823,citymun,municipality,I,Vintar,1,1,0,fuzzy,100
01029,province,province,I,Ilocos Sur,1,1,0,province,100
0102901,citymun,municipality,I,Alilem,4,1,0,fuzzy,100
0102902,citymun,municipality,I,Banayoyo,4,1,0,fuzzy,100
0102903,citymun,municipality,I,Bantay,3,1,0,fuzzy,100
0102904,citymun,municipality,I,Burgos,4,1,0,fuzzy,100
0102905,citymun,municipality,I,Cabugao,1,1,0,fuzzy,100
0102906,citymun,city,I,Candon City,4,1,0,fuzzy,100
0102907,citymun,municipality,I,Caoayan,4,2,0,fuzzy,100
0102908,citymun,municipality,I,Cervantes,4,1,0,fuzzy,100
0102909,citymun,municipality,I,Galimuyod,4,1,0,fuzzy,100
