psgc,region_name,province_name,citymun_name,barangay_name,physical_factor,ip_pop,armed_conf,idp,elcac_brgy,four_ps,imr,imr_prov_ref,ufmr,ufmr_prov_ref,fic,fic_prov_ref,abr,abr_prov_ref,pre_natal,pre_natal_prov_ref,sba,sba_prov_ref,water,water_prov_ref,dataentry_comment,health_indicators,decision,values_capped,capped_indicators
1900708002,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,LINONGAN,100,17,11,17,0,24,0,12.21,0,14.01,4,31.01,2,15.11,0,58.78,0,57.89,0,77.54,Entry acceptable,4,UUA,0,
1900708004,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,MANGALUT,100,71,0,0,0,19,0,12.21,0,14.01,3,31.01,5,15.11,5,58.78,5,57.89,0,77.54,Entry acceptable,4,UUA,0,
1900708005,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,MANGUSO,57,50,0,0,0,12,0,12.21,0,14.01,5,31.01,185,15.11,6,58.78,6,57.89,100,77.54,With values above 100,4,UUA,1,water
1900708006,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,PAGUENGAN,100,54,0,0,0,37,1,12.21,0,14.01,5,31.01,1,15.11,7,58.78,5,57.89,0,77.54,Entry acceptable,4,UUA,0,
1900708009,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,AKBAR,UPPER SINANGKAPAN,100,83,0,0,0,8,0,12.21,0,14.01,5,31.01,3,15.11,4,58.78,5,57.89,0,77.54,Entry acceptable,4,UUA,0,
1900702004,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,CITY OF LAMITAN,BAIMBING,40,100,0,0,0,56,0,12.21,0,14.01,50,31.01,0,15.11,42,58.78,42,57.89,0,77.54,Entry acceptable,3,UUA,0,
1900702056,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,CITY OF LAMITAN,DANIT-PUNTOCAN,25,100,0,0,0,20,0,12.21,0,14.01,0,31.01,25,15.11,64,58.78,45,57.89,47,77.54,Entry acceptable,4,UUA,0,
1900702063,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,CITY OF LAMITAN,LEBBUH,25,0,0,0,0,39,0,12.21,0,14.01,20,31.01,28,15.11,0,58.78,31,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900702047,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,CITY OF LAMITAN,TANDONG AHAS,100,71,0,0,0,45,0,12.21,0,14.01,65,31.01,11,15.11,38,58.78,47,57.89,27,77.54,Entry acceptable,3,UUA,0,
1900710004,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MOHAMMAD AJUL,LANGIL,100,100,4,3,0,25,0,12.21,0,14.01,33.3,31.01,0,15.11,0,58.78,10.5,57.89,0,77.54,Entry acceptable,3,UUA,0,
1900710009,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MOHAMMAD AJUL,SIBAGO,100,100,0,0,0,36,116.7,12.21,83.3,14.01,3,31.01,0,15.11,0,58.78,0,57.89,0,77.54,With values above 100,6,UUA,0,
1900710010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MOHAMMAD AJUL,SULUTAN MATANGAL,100,5,4,4,0,23,0,12.21,66.1,14.01,3.1,31.01,0,15.11,33.3,58.78,0,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712002,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,DASALAN,100,5,0,0,0,20,0,12.21,0,14.01,28,31.01,27,15.11,17,58.78,33,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712003,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,LUBUKAN,100,73,0,0,0,32,0,12.21,0,14.01,11,31.01,17,15.11,16,58.78,13,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712004,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,LUUKBONGSOD,100,8,0,0,0,19,15,12.21,0,14.01,35,31.01,44,15.11,18,58.78,32,57.89,1,77.54,Entry acceptable,5,UUA,0,
1900712005,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,MANANGGAL,60,93,0,0,0,41,0,12.21,0,14.01,9,31.01,0,15.11,16,58.78,16,57.89,0,77.54,Entry acceptable,4,UUA,0,
1900712006,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,PALAHANGAN,100,7,0,0,0,34,0,12.21,0,14.01,10,31.01,24,15.11,18,58.78,24,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712007,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,PANDUCAN,100,0,0,0,0,15,0,12.21,1,14.01,0,31.01,55.6,15.11,18.82,58.78,25,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712008,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,SANGBAY BIG,100,4,0,0,0,26,0,12.21,1,14.01,30,31.01,27.3,15.11,6.25,58.78,40,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900712009,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,HADJI MUHTAMAD,SANGBAY SMALL,100,0,0,0,0,33,0,12.21,0,14.01,8,31.01,20,15.11,42,58.78,21,57.89,0,77.54,Entry acceptable,5,UUA,0,
1900703018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,LANTAWAN,BAGBAGON,100,0,0,0,0,42,0,12.21,0,14.01,5,31.01,1,15.11,1,58.78,1,57.89,68,77.54,Entry acceptable,4,UUA,0,
1900703029,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,LANTAWAN,LANDUGAN,100,0,0,0,0,32,0,12.21,0,14.01,7,31.01,1,15.11,1,58.78,1,57.89,62,77.54,Entry acceptable,4,UUA,0,
1900703038,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,LANTAWAN,PARIAN-BAUNOH,100,2,0,0,0,80,0,12.21,0,14.01,2,31.01,0,15.11,0,58.78,0,57.89,100,77.54,With values above 100,3,UUA,1,water
1900703021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,LANTAWAN,SUBA-AN,100,0,0,0,0,44,0,12.21,0,14.01,4,31.01,1,15.11,0,58.78,0,57.89,75,77.54,Entry acceptable,4,UUA,0,
1900705027,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,BAIWAS,100,100,0,0,0,18,0,12.21,0,14.01,3,31.01,0,15.11,30,58.78,50,57.89,31.7,77.54,Entry acceptable,4,UUA,0,
1900705002,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,BENEMBENGAN LOWER,100,100,0,0,0,19,0,12.21,0,14.01,44.4,31.01,55.6,15.11,85,58.78,40,57.89,73.1,77.54,Entry acceptable,3,UUA,0,
1900705039,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,ETTUB-ETTUB,50,96,0,33,0,32,0,12.21,0,14.01,26.4,31.01,34.5,15.11,66.7,58.78,54.2,57.89,64.5,77.54,Entry acceptable,4,UUA,0,
1900705032,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,MAHATALANG,83,100,0,0,0,54,0,12.21,0,14.01,43.6,31.01,16.5,15.11,64.29,58.78,9.1,57.89,71.5,77.54,Entry acceptable,3,UUA,0,
1900705025,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,SUMISIP,TONGSENGAL,40,99,0,2,0,25,0,12.21,0,14.01,31.4,31.01,23.5,15.11,44.5,58.78,61.1,57.89,92.8,77.54,Entry acceptable,2,UUA,0,
