region,province,barangays_in_list,ref_imr,ref_ufmr,ref_fic,ref_abr,ref_pre_natal,ref_sba,ref_water,adjusted_to_100
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,37,12.21,14.01,31.01,15.11,58.78,57.89,77.54,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,108,3.36,5.36,47.19,8.88,91.69,76.38,78,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO DEL NORTE,30,2.8,5,70,2,70.5,69.7,87.2,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO DEL SUR,55,3,5,58,3.6,68.6,75.1,91.2,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SPECIAL GEOGRAPHIC AREA,1,0.03,0.08,0.33,0.009,0.9,0.11,0.46,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,87,3.65,4.71,46.01,11.59,96.98,41.75,46,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,82,4.1,6.8,39.76,11,70,81,31,
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,126,6.47,7.99,80.81,24.53,87.86,98.38,100,Water
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,47,14,15.4,71.48,82.62,64.71,94.7,12.31,
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,104,5.7,6.25,51.52,10.21,79.9,96.79,96.24,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,141,7.24,7.76,66.33,16.89,82.26,97.68,90.03,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,87,10,11,82,6,97,100,100,Water
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,104,10.81,12.35,71.11,39.3,89.74,99.36,100,Water
